model,statistic,p_value,significant
GLM,,,
XGBoost,180.0,0.32642054557800293,ns
NN-PerCell-MLP,222.0,0.0567457377910614,ns
NN-PerCell-CNN,121.0,0.8682619333267212,ns
NN-PerCell-RNN,133.0,0.7869290113449097,ns
NN-DeepSharedShallowHead-TL-MLP,222.0,0.0567457377910614,ns
NN-DeepSharedShallowHead-TL-CNN,263.0,0.002789407968521118,**
NN-DeepSharedShallowHead-TL-RNN,220.0,0.06332406401634216,ns
NN-DeepSharedDeepHead-TL-MLP,241.0,0.017086893320083618,*
NN-DeepSharedDeepHead-TL-CNN,258.0,0.004411160945892334,**
NN-DeepSharedDeepHead-TL-RNN,218.0,0.07045760750770569,ns
NN-ShallowSharedDeepHead-TL-MLP,257.0,0.00481751561164856,**
NN-ShallowSharedDeepHead-TL-CNN,212.0,0.09540712833404541,ns
NN-ShallowSharedDeepHead-TL-RNN,240.0,0.018341034650802612,*
