cell,GLM,NN-DeepSharedDeepHead-TL-CNN,NN-DeepSharedDeepHead-TL-MLP,NN-DeepSharedDeepHead-TL-RNN,NN-DeepSharedShallowHead-TL-CNN,NN-DeepSharedShallowHead-TL-MLP,NN-DeepSharedShallowHead-TL-RNN,NN-PerCell-CNN,NN-PerCell-MLP,NN-PerCell-RNN,NN-ShallowSharedDeepHead-TL-CNN,NN-ShallowSharedDeepHead-TL-MLP,NN-ShallowSharedDeepHead-TL-RNN,XGBoost
1,-0.008304898333624466,0.09216546978532403,0.06112558717358885,0.018443962083245724,0.08215070938962765,0.009188320924100157,-0.0055569014641214665,-0.0793479387115672,0.02169688891153332,-0.05445176521636741,0.008946089613332098,0.01354898620815137,0.026180584838387144,0.05348431776621376
2,0.12134841786292594,0.18427484789985205,0.1995854929779446,0.1410347873293738,0.18686500358319857,0.20307002851906808,0.13716664814518265,0.1090854579313949,0.1860434343134576,-0.009834226367576804,0.1597232629735813,0.19987953327917896,0.12889241713695765,0.17787608082149486
3,-0.08589251496983041,0.14699094559110404,0.16270144148667953,0.07671841101683763,0.1299015983056353,0.10513874330357287,0.03822571044484735,0.037189426713703067,0.08448994856892322,0.10578173981174543,0.07717413158134101,0.0942476648127385,0.07244241567564669,0.14364527290804652
4,-0.08306064470483387,0.20427874557718984,0.19665661000951662,0.1753041722615113,0.19793814593338266,0.16730034471323196,0.14415989482141067,0.058296564860926714,0.1334139855137899,0.16933275889364563,0.13726353886621068,0.17680039016341942,0.16788464616660737,0.15277717275770808
5,0.13244902736740272,0.26506131880687644,0.2959835924913319,0.2042965425621618,0.2833737169895061,0.2803406279670321,0.21837364137668325,-0.1597843317747265,0.1771408087717845,0.10219475247468879,0.23583991713317032,0.2766697664852563,0.18502165413383553,0.1979433947870194
6,0.2147664855148247,0.12699298932497927,0.22133946937119597,0.05999353797915441,0.17694720971112432,0.2382878774559095,0.010920147009767622,0.043882083066285826,0.21082468168134105,0.01728435806447115,0.053214875777561677,0.22620088136968963,0.042411998778628446,0.2183143942306064
7,0.00615261174237125,0.10941677024571272,0.11654072551226147,0.07078184711274238,0.10269144908539274,0.10199892511912612,0.03759972639667464,0.060652256084347544,0.07724650358238094,-0.009762678902861532,0.06778389410721042,0.10306790892072759,0.056665740751788096,0.06348696418177813
8,0.08010279805588971,0.05396488448790171,0.0999541398879431,0.016048420835033328,0.07716975955720962,0.09246290792867429,-0.0032208949743990356,-0.006450739695647023,0.08359399576201165,-0.03792014912302988,0.014337004999001035,0.09062769887982991,0.017134652809473794,0.09703392208492545
9,-0.09384717697755063,-0.06015435746429043,-0.0979380549327975,-0.035186268437966906,-0.05526181222080795,-0.10923540602653814,-0.08219274153699119,-0.16906709250279772,-0.11548588849110253,-0.04358371040685349,-0.09742054869158445,-0.08988941503957926,-0.03899737504814915,-0.20088846770681879
10,0.2242879307529272,0.2916933642813129,0.3669281258873829,0.18948940697720673,0.268759183705483,0.3474761275661006,0.20038889259331105,0.18020078801150474,0.2725564694803778,0.1533670618223607,0.13852374848863724,0.3632553781734863,0.18965244384334978,0.2836497493089325
11,0.01575986214564362,-0.010383110591971834,0.031679774776607106,-0.023171942689576452,-0.00817767816480397,0.02543349954003804,-0.0031974267457322014,-0.0032789612393189227,0.007311992016947433,-0.001701277473684204,-0.010660846398774071,0.020055574428866185,-0.005664616218040264,0.0196147761212222
12,-0.08925260931815449,-0.15200188667725656,-0.019293089159739374,-0.16083346003378263,-0.04132482860128017,-0.016128315875889587,-0.14230450745037104,-0.031024098880107376,-0.05693493209698497,-0.01474649294064534,-0.028425149918746673,-0.025593232534751653,-0.13124967070893723,-0.07919032805025195
13,-0.006955672034289595,0.0002921360373376869,-0.006054879974622063,-0.005913848526372556,-0.006411061641993232,-0.008534692590411064,-0.02717423733489155,-0.0011528503989177707,-0.010270760581049476,-0.0197556172460156,0.00886602470664044,-0.009895841161367658,-0.018506077934346,-0.025913099940789275
14,-0.0019980510923749417,-0.015092509956595945,0.010157252326890798,-0.01871522313427998,-0.00024726882847425635,0.024840239751352633,-0.00706459619227906,-0.01213782799633134,0.010902885459218692,-0.005085208840077016,-0.018532837674119396,0.028988524427217777,-0.01883130194412863,-0.0013683668487463052
15,0.009801079166382287,-0.007604610254455801,0.012870964867520152,-0.004719640051863205,0.007019761191190854,0.006775271042817832,0.0062103779627350475,0.0011430891212400596,0.0226880208228859,-0.0009726186227547728,-0.004948177939432474,0.007173156371449885,-0.010726328679801833,0.013669918214468835
16,0.019578312511195017,0.03652364475694447,0.030787325922838726,0.016650613653406476,0.023778042421425782,0.03046746710728243,0.03262574420283337,0.034477025878802414,0.021525704179681693,0.044194880612841825,0.04635256803157184,0.027247435848828716,0.024936582379463945,0.04207260227546683
