model,statistic,p_value,significant
GLM,,,
XGBoost,275.0,0.0008126795291900635,***
NN-PerCell-MLP,276.0,0.0007263720035552979,***
NN-PerCell-CNN,95.0,0.966649204492569,ns
NN-PerCell-RNN,143.0,0.7017500698566437,ns
NN-DeepSharedShallowHead-TL-MLP,297.0,4.4018030166625977e-05,***
NN-DeepSharedShallowHead-TL-CNN,283.0,0.00031566619873046875,***
NN-DeepSharedShallowHead-TL-RNN,187.0,0.2624562978744507,ns
NN-DeepSharedDeepHead-TL-MLP,310.0,4.082918167114258e-06,***
NN-DeepSharedDeepHead-TL-CNN,265.0,0.002302318811416626,**
NN-DeepSharedDeepHead-TL-RNN,225.0,0.04786673188209534,*
NN-ShallowSharedDeepHead-TL-MLP,308.0,6.16908073425293e-06,***
NN-ShallowSharedDeepHead-TL-CNN,223.0,0.053657352924346924,ns
NN-ShallowSharedDeepHead-TL-RNN,226.0,0.045158058404922485,*
