model,n_cells,median,mean,std,iqr_lo,iqr_hi,pct_above_chance,n_above_chance
GLM,25,0.00693767232890008,0.018874829269477603,0.0807757717729308,-0.011297198005948195,0.02612644892891114,56.00000000000001,14
XGBoost,25,0.04207260227546683,0.06140669839775963,0.10518599626218249,0.005049121578984406,0.14364527290804652,76.0,19
NN-PerCell-MLP,25,0.0226880208228859,0.06051560728465692,0.09407421629227916,0.007311992016947433,0.08448994856892322,76.0,19
NN-PerCell-CNN,25,-0.0032789612393189227,-0.00665730198575448,0.07828849532747809,-0.0106181250135442,0.034477025878802414,32.0,8
NN-PerCell-RNN,25,-0.001701277473684204,0.015717129097857527,0.06274246405471931,-0.01474649294064534,0.03164674261901912,44.0,11
NN-DeepSharedShallowHead-TL-MLP,25,0.03046746710728243,0.07437252375868506,0.10728669492905421,0.006775271042817832,0.10513874330357287,80.0,20
NN-DeepSharedShallowHead-TL-CNN,25,0.0334017573364942,0.07293906967344438,0.09581410895662733,0.004228600513043412,0.1299015983056353,76.0,19
NN-DeepSharedShallowHead-TL-RNN,25,0.010920147009767622,0.03158885584780035,0.07975169919370834,-0.0055569014641214665,0.03759972639667464,64.0,16
NN-DeepSharedDeepHead-TL-MLP,25,0.03656623115260449,0.08297630996574266,0.11111259073661314,0.010157252326890798,0.16270144148667953,76.0,19
NN-DeepSharedDeepHead-TL-CNN,25,0.04430430076128278,0.0713863947953001,0.10180040390329137,0.002560314183519208,0.12699298932497927,80.0,20
NN-DeepSharedDeepHead-TL-RNN,25,0.030839576692609838,0.04825644364562448,0.08398959370604384,-0.004719640051863205,0.074113861222602,72.0,18
NN-ShallowSharedDeepHead-TL-MLP,25,0.028988524427217777,0.07310483188271535,0.10597193344887941,0.007173156371449885,0.10306790892072759,76.0,19
NN-ShallowSharedDeepHead-TL-CNN,25,0.02412642721931857,0.04561247348858689,0.07636240336236623,-0.0033759148475758227,0.06778389410721042,72.0,18
NN-ShallowSharedDeepHead-TL-RNN,25,0.02951901749203678,0.04667662580375164,0.07809275706184451,-0.005664616218040264,0.07244241567564669,72.0,18
