model,n_cells,median,mean,std,iqr_lo,iqr_hi,pct_above_chance,n_above_chance
GLM,25,0.0176621560556246,0.018543661286137866,0.017445767814530725,0.007281789176029951,0.030820501070225825,96.0,24
XGBoost,25,0.04449941736383234,0.05486399403154532,0.04942157547012822,0.020932877032809216,0.07464510912193245,88.0,22
NN-PerCell-MLP,25,0.026320054838503193,0.039439327513061444,0.03756929980755924,0.014275444962089101,0.05110745596501309,96.0,24
NN-PerCell-CNN,25,-4.921998191242949e-07,0.018564403385062298,0.03310684461277558,-0.0009171460069006265,0.028691686609924272,48.0,12
NN-PerCell-RNN,25,0.024900340499278584,0.04201028136553573,0.05729802170419191,0.000558201268515135,0.05447173351525769,76.0,19
NN-DeepSharedShallowHead-TL-MLP,25,0.0450932909432008,0.055985891141784656,0.04830188070896938,0.02891839503506033,0.06564766840373892,92.0,23
NN-DeepSharedShallowHead-TL-CNN,25,0.05120690286817764,0.06420398373027002,0.05183121049372111,0.03203442114083843,0.07415987950275393,96.0,24
NN-DeepSharedShallowHead-TL-RNN,25,0.058349857691798235,0.07218925073898974,0.05680714693561168,0.033658015673344366,0.08353820030107795,96.0,24
NN-DeepSharedDeepHead-TL-MLP,25,0.054254242164124555,0.06560878537450474,0.0545522793545474,0.03605966437043373,0.0748451175721313,96.0,24
NN-DeepSharedDeepHead-TL-CNN,25,0.04715438536610139,0.0606433356996045,0.05189066009099193,0.02427011501850085,0.07099469106433687,100.0,25
NN-DeepSharedDeepHead-TL-RNN,25,0.06333220364388958,0.07346809616945306,0.05473074576699872,0.04271418556861761,0.08617567367721113,96.0,24
NN-ShallowSharedDeepHead-TL-MLP,25,0.047854470016726824,0.056345151558677954,0.051003686712092586,0.029057863002720508,0.061793503408615225,96.0,24
NN-ShallowSharedDeepHead-TL-CNN,25,0.04935932894292827,0.06534422011010191,0.0559821379337912,0.03136985347910015,0.07574108688784886,100.0,25
NN-ShallowSharedDeepHead-TL-RNN,25,0.053170886911691584,0.060332707314977425,0.04636093733631464,0.03215497473043638,0.07097648221677921,96.0,24
