model,statistic,p_value,significant
NN-DeepSharedShallowHead-TL-MLP,246.0,0.011824965476989746,*
NN-DeepSharedShallowHead-TL-CNN,264.0,0.0025358200073242188,**
NN-DeepSharedShallowHead-TL-RNN,203.0,0.14361464977264404,ns
NN-DeepSharedDeepHead-TL-MLP,274.0,0.0009078383445739746,***
NN-DeepSharedDeepHead-TL-CNN,257.0,0.00481751561164856,**
NN-DeepSharedDeepHead-TL-RNN,243.0,0.014789223670959473,*
NN-ShallowSharedDeepHead-TL-MLP,282.0,0.0003574788570404053,***
NN-ShallowSharedDeepHead-TL-CNN,229.0,0.03773978352546692,*
NN-ShallowSharedDeepHead-TL-RNN,243.0,0.014789223670959473,*
