model,statistic,p_value,significant
GLM,,,
XGBoost,161.0,0.5210774838924408,ns
NN-PerCell-MLP,151.0,0.6245035231113434,ns
NN-PerCell-CNN,113.0,0.9091350734233856,ns
NN-PerCell-RNN,164.0,0.4894576370716095,ns
NN-DeepSharedShallowHead-TL-MLP,248.0,0.010137468576431274,*
NN-DeepSharedShallowHead-TL-CNN,238.0,0.02107509970664978,*
NN-DeepSharedShallowHead-TL-RNN,172.0,0.4059651792049408,ns
NN-DeepSharedDeepHead-TL-MLP,269.0,0.0015439391136169434,**
NN-DeepSharedDeepHead-TL-CNN,233.0,0.02937576174736023,*
NN-DeepSharedDeepHead-TL-RNN,228.0,0.0400979220867157,*
NN-ShallowSharedDeepHead-TL-MLP,271.0,0.001253962516784668,**
NN-ShallowSharedDeepHead-TL-CNN,210.0,0.10496959090232849,ns
NN-ShallowSharedDeepHead-TL-RNN,242.0,0.01590391993522644,*
